Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,Bats,ThAwy,Spikes,Drops,DropRate,BadTh,BadRate,OnTgt,OnTgtRate
1,Drew Brees*\BreeDr00,NOR,40,QB,11,11,281,378,2979,4,9,5,13,0.04,39,0.11,306,0.84
2,Derek Carr\CarrDe02,OAK,28,QB,16,16,361,513,4054,9,28,2,25,0.05,53,0.11,399,0.83
3,Ryan Tannehill*\TannRy00,TEN,31,QB,12,10,201,286,2742,6,5,3,9,0.03,35,0.13,225,0.81
4,Jimmy Garoppolo\GaroJi00,SFO,28,QB,16,16,329,476,3978,6,7,2,28,0.06,64,0.14,377,0.81
5,Kirk Cousins *\CousKi00,MIN,31,QB,15,15,307,444,3603,9,24,0,17,0.04,65,0.16,332,0.79
6,Joe Flacco\FlacJo00,DEN,34,QB,8,8,171,262,1822,9,12,1,15,0.06,40,0.16,194,0.78
7,Dak Prescott\PresDa01,DAL,26,QB,16,16,388,596,4902,9,14,1,36,0.06,86,0.15,451,0.78
8,Patrick Mahomes *\MahoPa00,KAN,24,QB,14,14,319,484,4031,6,19,0,25,0.05,85,0.18,359,0.77
9,Deshaun Watson *\WatsDe00,HOU,24,QB,15,15,333,495,3852,6,15,2,21,0.04,80,0.17,367,0.77
10,Philip Rivers\RivePh00,LAC,38,QB,16,16,390,591,4615,13,16,3,25,0.04,88,0.15,439,0.77
11,Russell Wilson *\WilsRu00,SEA,31,QB,16,16,341,516,4110,9,20,3,17,0.03,91,0.19,376,0.76
12,Kyle Allen\AlleKy00,CAR,23,QB,13,12,303,489,3322,14,25,1,28,0.06,77,0.17,353,0.76
13,Lamar Jackson*+\JackLa00,BAL,22,QB,15,15,265,401,3127,12,11,2,14,0.04,68,0.18,295,0.76
14,Matt Ryan\RyanMa00,ATL,34,QB,15,15,408,616,4466,19,27,1,17,0.03,86,0.15,443,0.75
15,Sam Darnold\DarnSa00,NYJ,22,QB,13,13,273,441,3024,10,23,2,25,0.06,74,0.18,313,0.75
16,Aaron Rodgers *\RodgAa00,GNB,36,QB,16,16,353,569,4002,3,31,1,24,0.05,114,0.21,401,0.75
17,Mitchell Trubisky\TrubMi00,CHI,25,QB,15,15,326,516,3138,8,7,3,28,0.06,93,0.18,377,0.75
18,Jacoby Brissett\BrisJa00,IND,27,QB,15,15,272,447,2942,12,21,3,24,0.06,78,0.18,315,0.75
19,Gardner Minshew II\MinsGa00,JAX,23,QB,14,12,285,470,3271,8,18,1,24,0.05,84,0.19,332,0.74
20,Kyler Murray\MurrKy00,ARI,22,QB,16,16,349,542,3722,18,24,4,17,0.03,92,0.18,378,0.74
21,Josh Allen\AlleJo02,BUF,23,QB,16,16,271,461,3089,10,25,3,31,0.07,88,0.20,317,0.73
22,Tom Brady\BradTo00,NWE,42,QB,16,16,373,613,4057,6,40,0,34,0.06,118,0.21,419,0.73
23,Ryan Fitzpatrick\FitzRy00,MIA,37,QB,15,13,311,502,3529,15,7,3,28,0.06,87,0.18,358,0.73
24,Case Keenum\KeenCa00,WAS,31,QB,10,8,160,247,1707,6,7,2,12,0.05,41,0.17,173,0.73
25,Carson Wentz\WentCa00,PHI,27,QB,16,16,388,607,4039,16,10,1,28,0.05,106,0.18,431,0.72
26,Andy Dalton\DaltAn00,CIN,32,QB,13,13,314,528,3494,14,17,7,27,0.05,92,0.18,362,0.72
27,Jared Goff\GoffJa00,LAR,25,QB,16,16,394,626,4638,17,15,1,27,0.04,123,0.20,437,0.72
28,Mason Rudolph\RudoMa00,PIT,24,QB,10,8,176,283,1765,4,14,0,16,0.06,54,0.20,192,0.71
29,Daniel Jones\JoneDa05,NYG,22,QB,13,12,284,459,3027,6,12,0,17,0.04,80,0.18,318,0.71
30,Matthew Stafford\StafMa00,DET,31,QB,8,8,187,291,2499,5,5,2,9,0.03,59,0.21,201,0.71
31,Baker Mayfield\MayfBa00,CLE,24,QB,16,16,317,534,3827,20,19,2,30,0.06,93,0.18,362,0.71
32,Jameis Winston\WinsJa00,TAM,25,QB,16,16,380,626,5109,11,22,2,23,0.04,124,0.21,421,0.70
